Occupation,Job_Types,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
ALL OCCUPATIONS,All,109080,809,60746,895,48334,726
MANAGEMENT,Management,12480,1351,7332,1486,5147,1139
Chief executives,Management,1046,2041,763,2251,283,1836
General and operations managers,Management,823,1260,621,1347,202,1002
Legislators,Management,8,Na,5,Na,4,Na
Advertising and promotions managers,Management,55,1050,29,Na,26,Na
Marketing and sales managers,Management,948,1462,570,1603,378,1258
Public relations and fundraising managers,Management,59,1557,24,Na,35,Na
Administrative services managers,Management,170,1191,96,1451,73,981
Computer and information systems managers,Management,636,1728,466,1817,169,1563
Financial managers,Management,1124,1408,551,1732,573,1130
Compensation and benefits managers,Management,23,Na,7,Na,16,Na
Human resources managers,Management,254,1365,68,1495,186,1274
Training and development managers,Management,37,Na,17,Na,20,Na
Industrial production managers,Management,267,1485,221,1528,45,Na
Purchasing managers,Management,193,1348,109,1404,84,1226
"Transportation, storage, and distribution managers",Management,276,966,224,1006,52,749
"Farmers, ranchers, and other agricultural managers",Management,129,769,106,847,23,Na
Construction managers,Management,471,1329,429,1357,42,Na
Education administrators,Management,778,1423,282,1585,496,1252
Architectural and engineering managers,Management,110,1899,101,1892,10,Na
Food service managers,Management,763,742,389,820,374,680
Funeral service managers,Management,13,Na,10,Na,2,Na
Gaming managers,Management,19,Na,13,Na,6,Na
Lodging managers,Management,123,985,54,1171,68,902
Medical and health services managers,Management,592,1210,154,1422,438,1156
Natural sciences managers,Management,24,Na,11,Na,13,Na
Postmasters and mail superintendents,Management,20,Na,10,Na,10,Na
"Property, real estate, and community association managers",Management,401,914,171,1137,230,823
Social and community service managers,Management,305,1022,105,1142,200,965
Emergency management directors,Management,9,Na,6,Na,3,Na
"Managers, all other",Management,2803,1408,1717,1525,1085,1213
BUSINESS,Business,5942,1137,2686,1327,3256,1004
"Agents and business managers of artists, performers, and athletes",Business,27,Na,13,Na,14,Na
"Buyers and purchasing agents, farm products",Business,11,Na,9,Na,2,Na
"Wholesale and retail buyers, except farm products",Business,142,926,73,886,69,985
"Purchasing agents, except wholesale, retail, and farm products",Business,260,1009,136,1020,124,986
"Claims adjusters, appraisers, examiners, and investigators",Business,317,963,141,1134,176,824
Compliance officers,Business,235,1198,126,1375,109,1025
Cost estimators,Business,95,1232,83,1264,12,Na
Human resources workers,Business,592,1002,151,1158,441,984
"Compensation, benefits, and job analysis specialists",Business,63,998,12,Na,50,898
Training and development specialists,Business,107,990,42,Na,65,1037
Logisticians,Business,111,1028,66,1075,44,Na
Management analysts,Business,529,1431,291,1519,237,1348
"Meeting, convention, and event planners",Business,117,859,27,Na,90,840
Fundraisers,Business,62,1136,14,Na,48,Na
Market research analysts and marketing specialists,Business,203,1284,85,1411,118,1239
"Business operations specialists, all other",Business,186,1090,74,1461,112,969
Accountants and auditors,Business,1464,1132,618,1345,846,988
Appraisers and assessors of real estate,Business,42,Na,21,Na,21,Na
Budget analysts,Business,44,Na,17,Na,28,Na
Credit analysts,Business,17,Na,8,Na,9,Na
Financial analysts,Business,295,1426,168,1680,127,1171
Personal financial advisors,Business,407,1419,248,1738,159,1033
Insurance underwriters,Business,106,1149,44,Na,63,956
Financial examiners,Business,17,Na,9,Na,8,Na
Credit counselors and loan officers,Business,313,997,146,1186,166,906
"Tax examiners and collectors, and revenue agents",Business,59,1051,20,Na,39,Na
Tax preparers,Business,56,892,19,Na,37,Na
"Financial specialists, all other",Business,66,1162,25,Na,40,Na
COMPUTATIONAL,I.T.,4009,1428,3036,1503,973,1245
Computer and information research scientists,I.T.,28,Na,23,Na,5,Na
Computer systems analysts,I.T.,499,1389,325,1462,173,1256
Information security analysts,I.T.,67,1538,56,1562,11,Na
Computer programmers,I.T.,450,1438,357,1501,93,1302
"Software developers, applications and systems software",I.T.,1287,1682,1054,1751,232,1415
Web developers,I.T.,151,1165,98,1233,53,1026
Computer support specialists,I.T.,396,1079,291,1135,105,908
Database administrators,I.T.,90,1536,58,1829,32,Na
Network and computer systems administrators,I.T.,208,1242,179,1266,28,Na
Computer network architects,I.T.,115,1552,100,1577,15,Na
"Computer occupations, all other",I.T.,490,1227,374,1252,116,1145
Actuaries,I.T.,24,Na,18,Na,6,Na
Mathematicians,I.T.,6,Na,6,Na,0,Na
Operations research analysts,I.T.,122,1441,59,1574,63,1325
Statisticians,I.T.,76,1275,37,Na,39,Na
Miscellaneous mathematical science occupations,I.T.,1,Na,1,Na,0,Na
ENGINEERING,Engineering,2656,1424,2272,1452,383,1257
"Architects, except naval",Engineering,138,1441,106,1492,31,Na
"Surveyors, cartographers, and photogrammetrists",Engineering,29,Na,23,Na,6,Na
